year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,Germany,578.0,4,60,German,Austrian,15,91430.0,7,yes
2009,Germany,578.0,8,60,Brazilian,Italian,3,91600.0,7,yes
2009,Germany,578.0,15,60,German,British,16,91598.0,7,no
2009,Germany,578.0,3,60,British,British,22,91568.0,7,no
2009,Germany,578.0,2,60,Brazilian,British,23,91482.0,7,no
2009,Germany,578.0,12,60,Spanish,French,7,91302.0,7,no
2009,Germany,578.0,6,60,Finnish,British,2,91881.0,7,no
2009,Germany,578.0,20,60,German,Japanese,10,92423.0,7,no
2009,Germany,578.0,11,60,German,German,6,91771.0,7,no
2009,Germany,578.0,18,60,Italian,Indian,21,92402.0,7,no
2009,Germany,578.0,13,60,Japanese,British,17,91884.0,7,no
2009,Germany,578.0,10,60,Brazilian,French,8,92128.0,7,no
2009,Germany,578.0,16,60,Polish,German,5,92190.0,7,no
2009,Germany,578.0,7,60,German,Indian,20,92015.0,7,no
2009,Germany,578.0,17,60,Swiss,Italian,12,92251.0,7,no
2009,Germany,578.0,14,60,Italian,Japanese,9,91760.0,7,no
2009,Germany,578.0,5,59,British,British,1,91473.0,7,no
2009,Germany,578.0,9,34,Finnish,Italian,4,91869.0,7,no
2009,Germany,578.0,19,18,French,Italian,11,93559.0,7,no
2009,Hungary,264.0,4,70,British,British,1,80842.0,7,yes
2009,Hungary,264.0,7,70,Finnish,Italian,4,81500.0,7,yes
2009,Hungary,264.0,3,70,Australian,Austrian,14,80964.0,7,yes
2009,Hungary,264.0,5,70,German,British,16,80793.0,7,no
2009,Hungary,264.0,6,70,Finnish,British,2,81659.0,7,no
2009,Hungary,264.0,13,70,German,Japanese,10,81584.0,7,no
2009,Hungary,264.0,8,70,British,British,22,81471.0,7,no
2009,Hungary,264.0,11,70,Italian,Japanese,9,81416.0,7,no
2009,Hungary,264.0,9,70,Japanese,British,17,81407.0,7,no
2009,Hungary,264.0,12,70,Brazilian,British,23,81558.0,7,no
2009,Hungary,264.0,15,70,German,German,6,81738.0,7,no
2009,Hungary,264.0,14,70,Brazilian,French,8,81278.0,7,no
2009,Hungary,264.0,18,70,Polish,German,5,81901.0,7,no
2009,Hungary,264.0,16,69,Italian,Indian,21,81807.0,7,no
2009,Hungary,264.0,19,69,Spanish,Italian,11,82359.0,7,no
2009,Hungary,264.0,10,69,Swiss,Italian,12,81571.0,7,no
2009,Hungary,264.0,2,29,German,Austrian,15,81178.0,7,no
2009,Hungary,264.0,1,15,Spanish,French,7,81313.0,7,no
2009,Hungary,264.0,17,1,German,Indian,20,81868.0,7,no
2009,Hungary,264.0,0,0,Brazilian,Italian,3,81420.0,7,no
2009,Spain,4.0,3,57,Brazilian,British,23,99019.0,8,yes
2009,Spain,4.0,1,57,British,British,1,98649.0,8,yes
2009,Spain,4.0,6,57,Finnish,Italian,4,98843.0,8,yes
2009,Spain,4.0,2,57,Finnish,British,2,98816.0,8,no
2009,Spain,4.0,7,57,German,British,16,99039.0,8,no
2009,Spain,4.0,8,57,Spanish,French,7,99155.0,8,no
2009,Spain,4.0,5,57,British,British,22,98531.0,8,no
2009,Spain,4.0,10,57,Polish,German,5,98806.0,8,no
2009,Spain,4.0,9,57,Australian,Austrian,14,98983.0,8,no
2009,Spain,4.0,12,57,German,Indian,20,99145.0,8,no
2009,Spain,4.0,11,57,German,German,6,99032.0,8,no
2009,Spain,4.0,16,57,Italian,Indian,21,99531.0,8,no
2009,Spain,4.0,18,57,Italian,Japanese,9,99807.0,8,no
2009,Spain,4.0,13,57,German,Japanese,10,99459.0,8,no
2009,Spain,4.0,14,57,French,French,8,99322.0,8,no
2009,Spain,4.0,19,56,Spanish,Italian,11,99925.0,8,no
2009,Spain,4.0,20,56,Italian,Italian,3,101413.0,8,no
2009,Spain,4.0,17,54,Japanese,British,17,99795.0,8,no
2009,Spain,4.0,15,41,Swiss,Italian,12,98912.0,8,no
2009,Spain,4.0,4,23,German,Austrian,15,99295.0,8,no
